Continent,Country or State,Province or City,Shop Name,Shop Age,PC Make,PC Model,Customer Name,Customer Surname,Customer Contact Number,Customer Email Address,Sales Person Name,Sales Person Department,Cost Price,Sale Price,Discount Amount,Cost of Repairs,Total Sales per Employee,PC Market Price,Finance Amount,Credit Score,Channel,Priority,Payment Method,Storage Capacity,Storage Type,RAM,Purchase Date,Ship Date
Africa,Ghana,Greater Accra,Ricks Computers,9,MSI,Alpha 15,Manuel,Powell,(319)334-6789x0325,anthony64@example.net,Stephen Harmon,New Sales,21244,23319,104,0,505,22182,0,720,Offline,Low,Cash,256GB,HDD,4GB,7/6/2022,N/A
Africa,Angola,Luanda,Jacks Hardware,3,Asus,TUF Gaming A15,Christopher,Scott,001-908-008-9732,mccluresamantha@example.org,James Thornton,New Sales,27723,31580,83,0,864,31511,0,575,Offline,Low,Bank Transfer,1TB,HDD,4GB,12/28/2022,N/A
Africa,Nigeria,Nasarawa,GH PC Shop,3,Apple,Apple Lisa,David,Mcdowell,001-749-303-9413x930,andersonjennifer@example.net,Jennifer Wolf,Repairs,26992,31438,331,3281,120,29841,0,474,Online,Low,Bank Transfer,500GB,SSD,4GB,3/5/2023,3/28/2023
Africa,Ghana,Brong-Ahafo,DEF Machines,4,Dell,Alienware,Austin,Hicks,485.123.0877,ramirezronald@example.org,Diana Ashley MD,Repairs,7053,10822,980,1319,242,8390,40866,840,Online,High,Finance,1TB,SSD,8GB,11/14/2023,11/20/2023
Africa,Nigeria,Gombe,A & A PCs,6,MSI,GL65 Leopard,Jennifer,Sharp,+1-213-290-6215x85789,vjackson@example.com,Collin Bryant,Returns,12334,16175,24,0,569,13287,6659,756,Online,Medium,Finance,1TB,SSD,8GB,9/22/2023,9/24/2023
Africa,Botswana,North-East,DEF Machines,10,HP,Elitebook,Sean,Anderson,-9774,egonzalez@example.com,Lisa Williams,Repairs,12353,15497,313,1500,376,14519,0,404,Online,Low,Cash,1TB,HDD,2GB,12/20/2023,12/28/2023
Africa,Nigeria,Ondo,DEF Machines,9,Apple,Apple PowerBook G4,Catherine,Williams,(903)132-6972,kathryn61@example.net,Jennifer Marshall,New Sales,17686,21081,439,0,650,19577,0,507,Online,High,Bank Transfer,500GB,HDD,8GB,5/11/2023,5/23/2023
North America,Ohio,Middletown,XYZ Tech,7,Toshiba,Chromebook,Philip,Sosa,-10602,richard86@example.com,Eric James,New Sales,18502,23165,967,0,76,19711,0,736,Offline,High,Cash,500GB,HDD,16GB,4/9/2023,N/A
North America,Illinois,Des Plaines,Ricks Computers,8,Apple,Apple Mac Mini,William,Robinson,+1-569-352-5620x31902,jimenezbrianna@example.org,Glenda Cohen,Repairs,7256,10146,318,2800,350,9330,0,523,Online,High,Cash,500GB,SSD,8GB,3/24/2021,3/25/2021
North America,Georgia,Newnan,ABC Computers,4,Lenovo,ThinkPad X1 Carbon,Richard,Durham,7825171798,roberttaylor@example.com,Joe Thomas,Second-hand Sales,9020,11873,330,0,590,10058,6304,744,Online,Medium,Finance,256GB,HDD,8GB,8/9/2022,8/18/2022
North America,Pennsylvania,Allentown,S & A Computer Place,3,Asus,VivoBook S14,Brittney,Holmes,698.295.0241x3097,michaelpearson@example.com,Nathan Villarreal,Repairs,22099,25471,621,1281,150,24007,41564,548,Offline,Low,Finance,500GB,SSD,16GB,4/18/2022,N/A
North America,Texas,Fort Worth,Mini Tech,7,HP,Chromebook,Jenny,Ray,-3196,ldaniel@example.com,Amanda Brown,New Sales,18159,22159,929,0,635,18490,40766,694,Online,Low,Finance,1TB,SSD,8GB,4/20/2021,5/20/2021
North America,Michigan,Detroit,Greens Laptops and PCs,7,MSI,Modern 15,Tammy,Torres,495.416.2393,nathan94@example.net,Rebecca Smith,New Sales,11111,16099,637,0,265,15857,0,604,Offline,Medium,Bank Transfer,500GB,HDD,2GB,4/24/2022,N/A
Africa,Kenya,Machakos,Western International PCs,4,Toshiba,Chromebook,Carolyn,Owen,001-609-091-7730x3526,hansontyler@example.net,Misty Green,Repairs,23581,25729,214,4938,196,24822,0,737,Offline,High,Cash,500GB,HDD,2GB,1/17/2023,N/A
Africa,South Africa,Eastern Cape,Benjis Tech,4,Samsung,Notebook 5,Reginald,Boyd,906.005.9515,iwilliams@example.com,Mrs. Barbara Davenport,New Sales,9229,12274,638,0,217,10783,21142,637,Online,Medium,Finance,1TB,HDD,2GB,1/25/2023,2/11/2023
Africa,Angola,Zaire,ABC Computers,6,Lenovo,ThinkPad P15s,Anthony,Sanders,973-224-0064x3508,amy94@example.org,Hector Robertson,Second-hand Sales,21165,25227,785,0,727,21717,0,789,Offline,High,Bank Transfer,256GB,HDD,8GB,2/20/2022,N/A
North America,Ohio,Mansfield,Western International PCs,5,Dell,Vostro,Teresa,Larson,(949)663-8593x2095,rbrock@example.com,Max Mccann,New Sales,22539,26616,247,0,21,26109,0,478,Online,Medium,Bank Transfer,1TB,HDD,2GB,6/28/2022,7/23/2022
Africa,Ghana,Brong-Ahafo,Jacks Hardware,4,Samsung,Chromebook 4,Victor,Vargas,554-228-3840x907,wbarnett@example.com,Krista Wu,Second-hand Sales,13301,15449,199,0,164,14272,0,598,Online,Low,Bank Transfer,256GB,HDD,2GB,12/1/2022,12/27/2022
Africa,Botswana,Central,A & A PCs,6,Lenovo,ThinkPad T14,Evelyn,Mcclain,880.641.0524x93461,pamelahawkins@example.net,Heather Singleton,Returns,8054,11468,703,0,565,8764,0,603,Online,Low,Bank Transfer,1TB,HDD,4GB,3/18/2022,4/3/2022
North America,Ohio,Springfield,Western International PCs,4,Lenovo,ThinkPad X1 Carbon,Jason,Bell,(960)581-1502x0176,bethwillis@example.com,Erin Tucker,Repairs,6004,9766,329,3505,770,8701,0,663,Online,High,Cash,500GB,SSD,16GB,1/5/2023,1/24/2023
North America,Florida,Lakeland,ABC Computers,9,Toshiba,Dynabook,Hannah,Morgan,001-496-497-8737x43390,garrettrobinson@example.org,Mark Evans,New Sales,28534,33333,362,0,952,33004,0,476,Online,Medium,Cash,1TB,HDD,16GB,12/6/2023,12/17/2023
North America,California,Oceanside,S & A Computer Place,7,Samsung,Notebook Flash,Christy,Harding,(230)566-3980,saralarson@example.com,Joy Holt,New Sales,7209,10522,574,0,591,9750,0,492,Online,Low,Cash,256GB,HDD,16GB,3/19/2021,3/21/2021
North America,California,Garden Grove,Benjis Tech,2,Apple,Apple MacBook Pro,Latoya,Payne,001-435-508-1084x580,tracyodom@example.com,Joy Holt,Repairs,26471,30308,371,3410,175,29198,17811,742,Online,High,Finance,256GB,HDD,4GB,10/7/2022,10/8/2022
Africa,Morocco,Chefchaouen,Jacks Hardware,1,Toshiba,Portege,Jason,Middleton,579-832-8914,johnsondaniel@example.org,Emma Scott,New Sales,14042,17251,386,0,861,15880,34869,565,Offline,Low,Finance,256GB,HDD,16GB,8/31/2021,N/A
North America,Pennsylvania,Wilkes-Barre,LJ Computers,9,Acer,Nitro 5,Christopher,Moore,-6292,idavis@example.com,Leah Watts,New Sales,21105,23180,565,0,836,23106,23590,426,Offline,Low,Finance,1TB,SSD,4GB,11/28/2023,N/A
North America,Florida,Lakeland,Jacks Hardware,1,Toshiba,Libretto,Patricia,King,+1-966-194-9264x21852,sarahpatel@example.com,Tanya Mcclure,Repairs,27496,31730,170,4412,582,31125,0,787,Offline,Low,Cash,500GB,SSD,4GB,7/14/2021,N/A
North America,California,Los Angeles,Ricks Computers,7,Toshiba,Qosmio,Brian,Simon,+1-691-429-2761x9519,jonesdavid@example.com,Linda Perez,Second-hand Sales,27270,30656,205,0,140,29683,43812,777,Online,Medium,Finance,1TB,SSD,4GB,7/26/2022,7/29/2022
North America,Texas,Midland,ABC Computers,9,Asus,ZenBook Flip S UX371,Jennifer,Johnson,379.721.1337,usawyer@example.org,Lauren Morales,New Sales,22773,26964,434,0,867,25616,0,678,Offline,High,Bank Transfer,1TB,HDD,4GB,12/3/2021,N/A
Africa,Egypt,Giza,Western International PCs,4,Toshiba,Satellite,Brandon,Burton,(931)954-5907x16812,blakeparks@example.com,Diana Owens,Second-hand Sales,13637,16982,189,0,290,13727,0,536,Offline,Low,Cash,500GB,SSD,16GB,6/14/2023,N/A
Africa,Nigeria,Rivers,Jacks Hardware,6,Microsoft,Surface Go,Rebecca,Rodriguez,6868855945,dperez@example.org,Diana Waters,Returns,4753,8195,64,0,489,5094,5395,758,Offline,Medium,Finance,500GB,SSD,16GB,2/22/2024,N/A
Africa,Egypt,Kafr El Sheikh,ABC Computers,3,Dell,Inspiron,Ronald,Adkins,(148)342-5188,danielle57@example.com,Jeffrey Nelson,Second-hand Sales,19621,23348,576,0,819,23174,1231,693,Offline,Medium,Finance,1TB,HDD,8GB,4/27/2022,N/A
North America,California,Riverside,Frankies Hardware and Software,8,Dell,Alienware,Andrew,Lee,700.480.7842,meredithwelch@example.net,Joy Holt,Repairs,6442,10146,141,3226,806,7552,0,558,Online,High,Cash,1TB,SSD,4GB,7/18/2022,8/13/2022
Africa,Tanzania,Manyara,Greens Laptops and PCs,1,HP,Stream,Mark,Heath,(976)790-7356x688,davenportamanda@example.org,Dawn Perkins,Returns,19117,21225,391,0,521,20194,0,644,Online,High,Bank Transfer,256GB,SSD,8GB,8/23/2021,8/30/2021
North America,Ohio,Newark,KyaSand Tech Gadgets,10,Dell,Chromebook,Danielle,Davis,(537)076-9927x2841,joannadavis@example.net,Max Mccann,Second-hand Sales,12749,14905,110,0,893,14708,0,473,Online,Medium,Cash,256GB,SSD,4GB,8/16/2022,8/25/2022
North America,North Carolina,Gastonia,ABC Computers,9,Asus,ProArt StudioBook Pro X,Anthony,Johnson,(262)408-0088x5382,kcollier@example.net,Craig Wheeler,New Sales,29216,32571,493,0,772,31093,0,535,Offline,High,Cash,256GB,SSD,8GB,7/21/2022,N/A
Africa,Tanzania,Simiyu,Greens Laptops and PCs,3,Microsoft,Surface Duo,Austin,Johnson,742.087.0426,hmcconnell@example.com,Antonio Cobb,Repairs,13273,15283,202,4204,151,15154,0,589,Online,Low,Cash,500GB,SSD,4GB,11/17/2023,12/3/2023
Africa,Egypt,Gharbia,GH PC Shop,7,Samsung,Chromebook 4,Bonnie,Wolf,9976305295,davidcordova@example.net,Evan Scott,Returns,8577,12512,737,0,58,12091,0,458,Offline,Low,Cash,256GB,HDD,2GB,2/2/2023,N/A
North America,Florida,Lakeland,LJ Computers,3,Asus,ZenBook Flip S UX371,Jasmine,Fisher,001-286-138-3857,zharrington@example.com,Raymond Larson,Repairs,4321,7464,317,2363,65,6116,38275,691,Online,Medium,Finance,1TB,HDD,16GB,3/28/2021,4/16/2021
Africa,Egypt,Qalyubia,LJ Computers,5,Apple,Apple Mac Mini,Sheri,Garcia,001-662-019-0016x6164,emily55@example.org,Jacob Hudson,Returns,14939,19757,555,0,282,17222,0,819,Online,Medium,Cash,1TB,HDD,2GB,8/3/2023,8/4/2023
Africa,Nigeria,Yobe,CK Tech Store,8,Toshiba,Satellite,Adam,Rivera,688-497-1582x269,kathyhall@example.com,Mary Shaw,Returns,23024,26010,336,0,160,24493,0,504,Offline,Low,Cash,256GB,HDD,8GB,11/28/2022,N/A
North America,California,Sacramento,XYZ Tech,2,HP,Elitebook,Megan,Nelson,238-234-9089x258,estradakevin@example.net,Ryan Bradley,Second-hand Sales,9305,12806,769,0,76,10755,0,510,Offline,High,Bank Transfer,500GB,HDD,8GB,4/22/2023,N/A
North America,New York,Syracuse,Frankies Hardware and Software,4,Asus,ExpertBook B9,John,Woodard,150.259.3118,taylorwendy@example.com,John Lee,Repairs,15425,18023,743,3491,481,16917,0,826,Offline,Medium,Cash,1TB,HDD,4GB,2/28/2023,N/A
North America,California,Oceanside,GHI Machines,10,MSI,GS75 Stealth,Alan,Hall,(004)763-9896,mike87@example.org,Amber Montgomery,Repairs,9200,12939,618,1782,243,10711,12889,706,Offline,Medium,Finance,1TB,SSD,2GB,9/13/2023,N/A
North America,California,Modesto,Jacks Hardware,2,HP,Envy,Derek,Valentine,001-183-025-2355x633,sparkspaul@example.org,Rachel Mitchell,Repairs,24620,29103,173,4965,597,28978,0,754,Offline,High,Cash,256GB,HDD,8GB,8/8/2021,N/A
Africa,Nigeria,Ogun,A & A PCs,10,Dell,Chromebook,Matthew,Hendrix,4235410342,fwise@example.org,Randy Dillon,New Sales,19093,23747,619,0,462,19919,27232,799,Online,High,Finance,1TB,SSD,4GB,10/22/2021,10/28/2021
North America,Michigan,East Lansing,Frankies Hardware and Software,3,Acer,Predator Triton 500,Shawn,Chan,001-434-901-9166x39142,jamesmorales@example.com,Allen Juarez,Returns,20398,24273,838,0,677,23517,0,447,Online,Low,Bank Transfer,256GB,HDD,4GB,3/18/2023,3/28/2023
Africa,Tanzania,Pemba Kaskazini,Frankies Hardware and Software,5,MSI,Modern 15,Richard,Miller,+1-740-850-6918x102,whitneymoreno@example.org,Dawn Perkins,New Sales,2813,5559,171,0,612,5118,0,618,Online,Medium,Bank Transfer,256GB,HDD,4GB,12/15/2022,1/14/2023
Africa,Ghana,Brong-Ahafo,Frankies Hardware and Software,2,Dell,Precision,Yvonne,Velasquez,(052)532-9160x71001,dawn58@example.net,Kevin Lee,New Sales,3219,5475,2,0,850,4360,0,514,Online,High,Bank Transfer,1TB,HDD,8GB,11/2/2023,11/25/2023
North America,Texas,Tyler,GH PC Shop,6,Apple,Apple iMac,Samuel,Haynes,808-000-4966,robertfletcher@example.net,Laurie Wright,Second-hand Sales,17181,21202,663,0,305,20584,0,762,Offline,High,Cash,500GB,SSD,8GB,12/15/2021,N/A
North America,Michigan,Warren,Jacks Hardware,4,Lenovo,Legion 5,Alice,Mendoza,+1-502-787-5195x6812,brownbianca@example.com,Elizabeth Martinez,Repairs,15997,18673,99,4255,442,17767,3293,673,Offline,Low,Finance,1TB,HDD,8GB,7/2/2023,N/A
North America,Florida,Tampa,Western International PCs,3,Microsoft,Surface Duo,Jessica,Smith,+1-871-101-2912x280,beasleymark@example.net,Alexis Murray,New Sales,4766,7890,393,0,311,4803,0,409,Offline,Medium,Cash,1TB,HDD,8GB,9/10/2021,N/A
Africa,Kenya,Laikipia,A & A PCs,6,Apple,Apple Mac Mini,Jeffrey,Gallegos,874.637.6049x97175,tsantiago@example.org,Kenneth Moore,Repairs,3836,7353,616,3803,647,4920,0,627,Offline,High,Bank Transfer,500GB,SSD,4GB,8/29/2023,N/A
Africa,Ethiopia,Dire Dawa,XYZ Tech,9,Lenovo,ThinkPad X1 Yoga,Kurt,Reeves,416.567.4987x7693,jdavis@example.org,Samuel Hurst,Second-hand Sales,11709,15931,568,0,605,15814,0,562,Online,High,Cash,256GB,SSD,8GB,12/31/2022,1/17/2023
Africa,Ghana,Central,ABC Computers,1,Microsoft,Surface Neo,Tammy,Christian,6732478831,pattersonsarah@example.com,Diana Ashley MD,Returns,2958,7312,983,0,801,4987,0,563,Online,High,Cash,256GB,SSD,16GB,10/1/2022,10/12/2022
Africa,Egypt,Matrouh,ABC Computers,7,Lenovo,IdeaPad Flex 5,Barry,Lang,242198275,barrbrandon@example.net,Michael Gibson,New Sales,24860,29803,602,0,116,26693,0,538,Online,Low,Cash,1TB,SSD,4GB,11/1/2021,11/29/2021
Africa,Botswana,South-East,Ricks Computers,1,Dell,Alienware,Kenneth,Evans,001-178-770-2870x5964,katelynpatterson@example.org,Heather Singleton,Returns,6537,10419,887,0,161,9199,0,688,Online,High,Bank Transfer,256GB,HDD,16GB,8/8/2022,8/27/2022
North America,New York,Garden City,Greens Laptops and PCs,5,Lenovo,ThinkPad X1 Yoga,Amanda,Norman,001-203-868-2448x913,clifford67@example.org,Gabrielle Patterson,Second-hand Sales,9875,12352,652,0,723,11955,2117,819,Online,Medium,Finance,500GB,HDD,16GB,10/10/2021,11/2/2021
North America,Georgia,Albany,GHI Machines,1,Toshiba,Chromebook,Ashley,Hill,208.355.8017x5668,jadams@example.org,Chris Jones,New Sales,23018,25220,621,0,278,24331,11211,811,Offline,Low,Finance,500GB,HDD,2GB,9/23/2021,N/A
Africa,Angola,Lunda Norte,DEF Machines,5,Toshiba,Chromebook,Richard,Perry,(496)191-8064,lperez@example.org,Ruben Snow,Second-hand Sales,10562,15080,683,0,588,11370,0,834,Online,Medium,Bank Transfer,256GB,SSD,2GB,12/22/2023,1/21/2024
North America,Texas,Laredo,Mini Tech,8,Dell,Venue,Pamela,Smith,442.360.4027x410,dhughes@example.net,Laurie Wright,Repairs,13618,18257,738,3789,306,15531,41836,836,Online,Medium,Finance,500GB,SSD,4GB,9/10/2021,10/9/2021
North America,Michigan,Warren,Benjis Tech,1,Acer,Aspire 5,Carly,Stevenson,+1-336-537-3458x4521,waterstroy@example.com,Teresa Martin,Second-hand Sales,29789,32162,421,0,324,29918,0,584,Online,Medium,Bank Transfer,500GB,SSD,4GB,7/11/2022,7/23/2022
Africa,Egypt,Cairo,GH PC Shop,4,Microsoft,Surface Go,Cristina,Foley,(612)430-7285x262,mmartin@example.org,Jeffrey Nelson,New Sales,5251,7294,207,0,755,5319,0,643,Online,High,Bank Transfer,1TB,SSD,2GB,8/16/2022,8/25/2022
North America,Illinois,Bolingbrook,Frankies Hardware and Software,10,Toshiba,Tecra,Laura,Howell,400-394-8640x0520,theresacruz@example.net,Jerry Cox,Returns,8825,10953,96,0,44,10513,0,789,Online,Low,Cash,1TB,SSD,4GB,7/26/2022,8/15/2022
Africa,Botswana,Southern,Ricks Computers,4,Apple,Apple Macintosh SE,Jacqueline,Rodriguez,987.715.3567,kimberlysmith@example.com,Madison Davis,Second-hand Sales,27788,30309,154,0,104,29523,0,672,Offline,Low,Cash,256GB,HDD,16GB,8/18/2023,N/A
North America,Texas,Round Rock,CK Tech Store,4,Acer,Predator Helios 300,Teresa,Chen,096.540.2122,jacobbaker@example.net,Lauren Morales,Repairs,21237,24804,663,3306,50,21343,32558,602,Offline,Low,Finance,256GB,SSD,2GB,7/15/2022,N/A
Africa,Botswana,North-West,Ricks Computers,4,Acer,Predator Helios 300,Erin,Watson,(749)017-8177x847,ronniecross@example.org,Lisa Williams,New Sales,23656,26010,286,0,752,25161,28237,676,Offline,Low,Finance,500GB,HDD,8GB,10/25/2022,N/A
Africa,South Africa,Gauteng,DEF Machines,7,Dell,Precision,Michelle,Silva,332.174.9322,ibailey@example.org,Erin Williams,Returns,19614,22736,302,0,238,19877,2914,745,Offline,Medium,Finance,256GB,SSD,2GB,3/10/2023,N/A
North America,Florida,Hialeah,KyaSand Tech Gadgets,8,Lenovo,ThinkPad P15s,Justin,Stafford,733-380-9694x29675,huntermcdonald@example.net,Richard Patterson,Repairs,12525,16772,405,4654,387,14173,0,651,Online,Low,Cash,1TB,HDD,16GB,1/5/2022,1/19/2022
Africa,Nigeria,Benue,XYZ Tech,8,Apple,Apple Macintosh Classic,John,Hernandez,561-475-0490x69374,charlessingleton@example.com,Brian Gonzales,New Sales,25930,29820,799,0,29,28363,0,721,Online,High,Cash,1TB,SSD,16GB,12/14/2022,12/17/2022
Africa,Ethiopia,Dire Dawa,DEF Machines,5,Dell,OptiPlex,Joshua,Gamble,1559477582,davisjose@example.org,Thomas Ramos,Returns,15330,18152,650,0,333,16834,0,704,Online,Low,Cash,1TB,HDD,16GB,9/6/2023,9/28/2023
Africa,Egypt,Aswan,A & A PCs,3,Acer,Spin 5,James,West,550-426-5481,dariushunt@example.org,Allison Gilbert,Repairs,7281,10468,643,3790,754,10133,0,425,Online,High,Bank Transfer,500GB,HDD,4GB,4/2/2022,4/9/2022
North America,California,Fresno,Western International PCs,2,Samsung,Notebook 9 Pro,Dawn,Mccoy,940416981,brewernatalie@example.net,Amber Montgomery,Returns,26508,30880,252,0,270,29631,12152,843,Offline,High,Finance,500GB,HDD,4GB,5/25/2021,N/A
Africa,Nigeria,Lagos,S & A Computer Place,1,Acer,Aspire E 15,Alexander,Castillo,367-746-2280x5164,joel71@example.org,Mary Shaw,New Sales,20572,23186,166,0,541,21208,29197,408,Online,Medium,Finance,500GB,HDD,4GB,11/15/2021,11/17/2021
North America,California,Huntington Beach,GH PC Shop,3,Apple,Apple Power Mac G5,Michelle,Lewis,001-716-471-2957x620,ashleywatkins@example.com,Joy Holt,New Sales,27973,30956,513,0,125,30139,0,670,Online,High,Bank Transfer,256GB,HDD,8GB,9/1/2023,9/8/2023
Africa,Kenya,West Pokot,DEF Machines,8,MSI,GP76 Leopard,Christopher,Alvarado,780.003.2345x10843,gina87@example.net,Danielle Cole,Second-hand Sales,6809,9620,457,0,658,8003,0,581,Offline,High,Cash,256GB,SSD,8GB,1/24/2022,N/A
Africa,Angola,Cuando Cubango,CK Tech Store,10,Microsoft,Surface Go,Samantha,Brown,633-663-3302x592,harringtonmaria@example.net,Lori Anderson,Second-hand Sales,23187,25885,965,0,874,24004,0,814,Online,Medium,Cash,500GB,HDD,16GB,5/31/2021,6/30/2021
North America,Michigan,Midland,Benjis Tech,5,Microsoft,Surface Hub,Melinda,Jensen,570-784-3467x23520,bramirez@example.org,Michael Gomez,New Sales,24322,28838,637,0,150,26539,0,688,Offline,Medium,Bank Transfer,256GB,SSD,16GB,1/26/2023,N/A
Africa,Ghana,Ashanti,XYZ Tech,2,Acer,Swift 3,James,Whitaker,+1-181-272-9722x909,rogerconner@example.com,Jonathan Miller,Repairs,29136,31281,439,2961,58,29937,0,411,Offline,High,Bank Transfer,256GB,SSD,16GB,3/10/2022,N/A
North America,Michigan,Bay City,Mini Tech,1,Lenovo,ThinkPad X13 Yoga,John,Garcia,001-348-408-9381x644,fredericklopez@example.net,Michael Gomez,Returns,11814,13915,821,0,169,13434,18212,726,Online,High,Finance,1TB,SSD,16GB,8/17/2023,8/28/2023
North America,New York,Albany,ABC Computers,8,Dell,Vostro,James,Wood,001-342-824-3595x5788,oconnorjohn@example.org,Natalie Jimenez,New Sales,10774,13540,90,0,91,12612,35217,428,Offline,Medium,Finance,500GB,SSD,2GB,1/8/2024,N/A
North America,California,Oceanside,XYZ Tech,1,Asus,ExpertBook B9,Samantha,Hayes,+1-981-589-3341x56395,wolfedominic@example.net,Sean Rodriguez,Returns,10613,12810,624,0,36,12757,14614,830,Offline,Low,Finance,500GB,SSD,4GB,6/26/2022,N/A
Africa,Nigeria,Abia,LJ Computers,7,Microsoft,Surface Book,Tracy,Trevino,165-946-6860x2204,fzimmerman@example.com,Timothy Leach,New Sales,27633,29656,660,0,641,29388,0,572,Offline,Low,Cash,1TB,SSD,8GB,6/4/2023,N/A
Africa,Ghana,Western,S & A Computer Place,6,Dell,Chromebook,Michael,Brown,-10553,qbaldwin@example.org,Diana Ashley MD,Returns,17893,22465,267,0,48,21534,3243,626,Online,Medium,Finance,256GB,HDD,16GB,2/18/2022,3/1/2022
Africa,Nigeria,Cross River,Frankies Hardware and Software,1,Asus,ZenBook Flip S UX371,Michael,Liu,343.743.5471,pricejasmin@example.net,Timothy Leach,Second-hand Sales,4164,7041,618,0,540,4701,0,829,Online,Low,Cash,1TB,SSD,8GB,1/26/2023,2/17/2023
North America,Ohio,Dublin,Jacks Hardware,6,Acer,Swift 3,Craig,Ramirez,001-358-406-7732x5009,potterluke@example.com,Jason Gentry,Returns,21580,23863,923,0,120,23093,0,744,Offline,Low,Cash,500GB,HDD,8GB,5/26/2022,N/A
North America,Michigan,Kalamazoo,DEF Machines,2,Dell,Vostro,Elizabeth,Salas,(270)448-4606x949,rachaelpatterson@example.org,Tiffany Velez,New Sales,25316,28067,403,0,628,26535,0,502,Online,High,Cash,500GB,SSD,2GB,10/22/2023,10/23/2023
North America,Georgia,Johns Creek,Jacks Hardware,7,Lenovo,ThinkPad T14,Alexander,Lee,(016)865-7152x5042,brandon98@example.com,Chris Jones,New Sales,8838,13730,633,0,232,11222,0,715,Online,High,Bank Transfer,500GB,HDD,16GB,9/4/2023,9/29/2023
Africa,Morocco,Taza,GHI Machines,5,Apple,Apple Mac Pro,Connie,Myers,(460)657-9294x044,panderson@example.net,Justin Kemp,Second-hand Sales,23611,26024,432,0,33,23802,27233,825,Offline,High,Finance,500GB,SSD,16GB,4/15/2021,N/A
North America,Illinois,Bloomington,ABC Computers,3,Microsoft,Surface Neo,Maria,Perez,(046)813-5858,bakerelizabeth@example.org,Curtis Tucker,Repairs,18570,21222,686,1858,309,19779,25381,590,Online,Low,Finance,500GB,HDD,2GB,8/30/2023,9/23/2023
North America,Michigan,Ypsilanti,ABC Computers,3,Samsung,Notebook 5,Cheryl,Meza,(342)332-0431x8168,jose96@example.org,Veronica Larson,Repairs,22595,27520,687,3497,933,24377,0,460,Offline,Low,Cash,256GB,HDD,16GB,2/8/2023,N/A
North America,Florida,St. Petersburg,LJ Computers,3,MSI,Alpha 15,Jason,Stephens,668.840.8753x67888,devin90@example.com,Raymond Larson,Second-hand Sales,3929,6207,562,0,782,4827,0,424,Offline,Medium,Cash,256GB,SSD,2GB,3/9/2023,N/A
Africa,Nigeria,Enugu,LJ Computers,4,Microsoft,Surface Studio,Stephen,Carrillo,2522206226,paul92@example.org,Jennifer Marshall,New Sales,21634,24174,583,0,688,22545,35022,654,Online,Low,Finance,1TB,SSD,8GB,2/15/2023,3/8/2023
Africa,Tanzania,Pemba Kaskazini,Jacks Hardware,9,MSI,Alpha 15,Jason,Santos,2059756790,garymathews@example.org,Antonio Cobb,Returns,3146,5327,893,0,628,3965,42812,801,Offline,Low,Finance,1TB,SSD,16GB,8/17/2022,N/A
Africa,Ethiopia,Tigray,XYZ Tech,5,Acer,Aspire 7,Ethan,Simpson,218.191.5873x630,victorowens@example.net,Kenneth Herring,Repairs,13891,16356,786,4866,525,15129,0,513,Online,Low,Bank Transfer,500GB,HDD,4GB,10/18/2023,11/5/2023
Africa,Nigeria,Zamfara,XYZ Tech,1,MSI,P65 Creator,Matthew,Vega,441.933.5612,raymondcrystal@example.org,Diana Waters,Repairs,15402,18762,873,2709,957,17864,0,400,Offline,Low,Cash,256GB,HDD,2GB,7/21/2021,N/A
Africa,Ethiopia,Dire Dawa,ABC Computers,10,Samsung,Notebook 9 Pen,Aaron,Miller,4980395731,jodom@example.net,Alexa Hopkins,Second-hand Sales,4877,7326,856,0,288,4904,0,561,Online,Medium,Cash,1TB,HDD,2GB,12/22/2022,1/18/2023
Africa,Morocco,Driouch,Ricks Computers,3,Apple,Apple MacBook Air,Karen,Coleman,2322705841,gary55@example.com,Gina Day,New Sales,22524,25825,354,0,219,23476,0,491,Online,High,Bank Transfer,1TB,SSD,4GB,3/10/2024,4/1/2024
North America,Michigan,Jackson,Jacks Hardware,5,Asus,ZenBook UX425,Matthew,Beck,332-774-4268,michaelkim@example.net,Allen Juarez,New Sales,26198,30730,27,0,487,27095,0,525,Online,High,Cash,256GB,HDD,4GB,11/10/2023,12/2/2023
North America,Illinois,Bolingbrook,ABC Computers,8,Apple,Apple Macintosh Classic,Caroline,Cabrera,(898)490-2683x5589,jeffbrown@example.net,Katie Fernandez,Returns,12201,15396,957,0,17,13403,37186,768,Online,Low,Finance,500GB,SSD,8GB,8/7/2021,8/22/2021
North America,Michigan,Holland,ABC Computers,4,Asus,VivoBook Flip 14,Tamara,Reyes,001-060-851-0095,jack94@example.org,Veronica Larson,Second-hand Sales,15957,18217,366,0,618,16001,0,530,Offline,Medium,Cash,500GB,SSD,2GB,2/9/2024,N/A
North America,California,Riverside,ABC Computers,3,Asus,ZenBook UX425,Joseph,Black,(462)411-8639x808,hpearson@example.com,Ryan Bradley,Returns,15895,18657,140,0,870,17057,12412,492,Online,High,Finance,500GB,HDD,4GB,7/7/2021,7/22/2021
North America,Illinois,Oak Lawn,LJ Computers,6,Asus,VivoBook S14,Matthew,Fitzgerald,9561404276,marissamaxwell@example.net,Katie Fernandez,Repairs,20622,23530,558,1036,469,20953,0,806,Offline,Low,Cash,1TB,HDD,8GB,6/9/2023,N/A
